country,voice,cpi,rank
"Bulgaria",.3566608,42,78
"Denmark",1.56158,88,1
"Finland",1.576915,88,1
"Greece",.7323008,49,58
"Norway",1.696236,85,4
"Russia",-1.074532,29,136
"Sweden",1.568358,85,4
"Turkey",-.8510667,38,96
"Ukraine",-.0377829,32,122
"United Kingdom",1.369475,78,11
